data	model	atk_method	atk_epsilon	attr_method	k	norm_acc	adv_acc
CIFAR10	ResNet50	LinfPGD	0.01	LayerGradCam	0.0000	95.3000	12.5000
CIFAR10	ResNet50	LinfPGD	0.01	LayerGradCam	0.0500	95.3000	12.3000
CIFAR10	ResNet50	LinfPGD	0.01	LayerGradCam	0.1000	95.3000	12.3000
CIFAR10	ResNet50	LinfPGD	0.01	LayerGradCam	0.1500	95.3000	12.3000
CIFAR10	ResNet50	LinfPGD	0.01	LayerGradCam	0.2000	95.3000	12.3000
CIFAR10	ResNet50	LinfPGD	0.01	LayerGradCam	0.2500	95.3000	12.5000
CIFAR10	ResNet50	LinfPGD	0.01	LayerGradCam	0.3000	95.2000	12.6000
CIFAR10	ResNet50	LinfPGD	0.01	LayerGradCam	0.3500	95.2000	12.6000
CIFAR10	ResNet50	LinfPGD	0.01	LayerGradCam	0.4000	95.2000	13.0000
CIFAR10	ResNet50	LinfPGD	0.01	LayerGradCam	0.4500	95.2000	13.0000
CIFAR10	ResNet50	LinfPGD	0.01	LayerGradCam	0.5000	95.2000	13.0000
CIFAR10	ResNet50	LinfPGD	0.01	LayerGradCam	0.5500	95.0000	13.0000
CIFAR10	ResNet50	LinfPGD	0.01	LayerGradCam	0.6000	95.0000	13.0000
CIFAR10	ResNet50	LinfPGD	0.01	LayerGradCam	0.6500	95.0000	13.0000
CIFAR10	ResNet50	LinfPGD	0.01	LayerGradCam	0.7000	95.1000	12.8000
CIFAR10	ResNet50	LinfPGD	0.01	LayerGradCam	0.7500	95.1000	12.8000
CIFAR10	ResNet50	LinfPGD	0.01	LayerGradCam	0.8000	95.1000	12.8000
CIFAR10	ResNet50	LinfPGD	0.01	LayerGradCam	0.8500	95.3000	12.5000
CIFAR10	ResNet50	LinfPGD	0.01	LayerGradCam	0.9000	95.3000	12.5000
CIFAR10	ResNet50	LinfPGD	0.01	LayerGradCam	0.9500	95.3000	12.5000
CIFAR10	ResNet50	LinfPGD	0.01	LayerGradCam	1.0000	95.3000	12.5000
CIFAR10	ResNet50	LinfPGD	0.01	LayerGradCam	0.0000	95.3000	12.5000
CIFAR10	ResNet50	LinfPGD	0.01	LayerGradCam	0.0500	95.2000	14.1000
CIFAR10	ResNet50	LinfPGD	0.01	LayerGradCam	0.1000	95.2000	15.1000
CIFAR10	ResNet50	LinfPGD	0.01	LayerGradCam	0.1500	95.4000	16.1000
CIFAR10	ResNet50	LinfPGD	0.01	LayerGradCam	0.2000	95.5000	16.4000
